Key-letter,Key-number,Track Name,Artist,URL,Note,Explict,Loaded,meta,,
P,5,,,,,,,
Q,5,,,,,,,
R,5,,,,,,,
S,5,,,,,,,
T,5,,,,,,,
U,5,,,,,,,
V,5,,,,,,,
A,6,Chinese Music,Chinese,mms://219.142.120.27/chn,,,,
B,6,Chinese Music,Chinese,http://radio.chinesemusicworld.com:8202/,,,,
C,6,Bollywood HSL,India,x-rincon-mp3radio://50.7.70.66:8485,,,,
D,6,Indian Classics,Inida,x-rincon-mp3radio://radio.bollywoodradio.de/128,,,,
E,6,Indian Classics,Inida,x-rincon-mp3radio://listen.radionomy.com/bollywoodhindihits,,,,
F,6,Indian Bollywood,India,x-rincon-mp3radio://streamplus11.leonex.de:17222/,,,,
G,6,Viva El Mariachi,Mariachi,aac://streaming64.radionomy.com/viva-el-mariachi,,,,
H,6,Radio Mariachi,Mariachi,aac://138.128.186.90:8010,,,,
J,6,Greek Music,Greek,x-rincon-mp3radio://14.201.39.229:8000/,,,,
K,6,Greek Times Radio,Greek,aac://206.217.201.136:8049/stream,,,,
L,6,Chinese Classical,Chinese,x-rincon-mp3radio://radio.chinesemusicworld.com:8202,,,,
M,6,Indian Classical,Indian,x-rincon-mp3radio://www.shadjamadhyam.com:8000/in,,,,
N,6,,,,,,,
P,6,,,,,,,
Q,6,,,,,,,
R,6,,,,,,,
S,6,,,,,,,
T,6,,,,,,,
U,6,,,,,,,
V,6,,,,,,,
A,8,Christmas In Frisco,Soma FM,aac://ice.somafm.com/xmasinfrisko-64.aac,,,,"<DIDL-Lite xmlns:dc=""http://purl.org/dc/elements/1.1/"" xmlns:upnp=""urn:schemas-upnp-org:metadata-1-0/upnp/"" xmlns:r=""urn:schemas-rinconnetworks-com:metadata-1-0/"" xmlns=""urn:schemas-upnp-org:metadata-1-0/DIDL-Lite/"">"
B,8,181 Christmas Clasics,,x-rincon-mp3radio://relay2.181.fm:14124,,,,"<DIDL-Lite xmlns:dc=""http://purl.org/dc/elements/1.1/"" xmlns:upnp=""urn:schemas-upnp-org:metadata-1-0/upnp/"" xmlns:r=""urn:schemas-rinconnetworks-com:metadata-1-0/"" xmlns=""urn:schemas-upnp-org:metadata-1-0/DIDL-Lite/"">"
C,8,Christmas Jazz,Christmas Stream,x-rincon-mp3radio://relay2.181.fm:14092,,,,
D,8,Christmas Standards,Christmas Stream,x-rincon-mp3radio://relay2.181.fm:14118,,,,
E,8,Christmas Program,Robb Spewak,http://10.10.10.100/media/RobbChristmas.mp3,,,,
F,8,Party Program,Robb Spewak,http://10.10.10.100/media/robbRadio.mp3,,,,
G,8,We Need a Little Christmas,Percy Faith,http://10.10.10.100/media/needChristmas.m4a,,,,
H,8,Donde Esta Santa Clause,Angie Rios,http://10.10.10.100/media/dondeSanta.m4a,,,,
J,8,Mele Kalikimaka,,http://10.10.10.100/media/mele.mp3,,,,
K,8,Christmas Island,Dickie Valentine,http://10.10.10.100/media/Christmasisland.mp3,,,,
L,8,12 Days Of Christmas,London Philharmonic,http://10.10.10.100/media/12Days.m4a,,,,
M,8,Carol of the Bells,Vienna Boys Choir,http://10.10.10.100/media/carolBells.m4a,,,,
N,8,Rudolf the Red Nosed Reindeer,Dean Martin,http://10.10.10.100/media/Rudolf.mp3,,,,
P,8,Santa Baby,Betty Boop,http://10.10.10.100/media/SantaBaby.mp3,,,,
Q,8,Santa Clause is Coming to Town,Frank Sinatra,http://10.10.10.100/media/SantaComing.mp3,,,,
